formula, size, congruence, reverse, result 
P0.5N2L10.form185, 13, 0, 1, true
P0.5N2L10.form186, 10, 2, 1, true
P0.5N2L10.form187, 13, 2, 0, true
P0.5N2L10.form188, 13, 0, 1, true
P0.5N2L10.form189, 13, 0, 1, true
P0.5N2L10.form190, 13, 3, 1, true
P0.5N2L10.form191, 10, 5, 0, true
P0.5N2L10.form192, 10, 0, 1, true
P0.5N2L10.form193, 10, 0, 0, true
P0.5N2L10.form194, 10, 4, 2, true
P0.5N2L10.form195, 16, 5, 1, true
P0.5N2L10.form196, 10, 0, 0, true
P0.5N2L10.form197, 19, 0, 1, true
P0.5N2L10.form198, 13, 2, 0, true
P0.5N2L10.form199, 13, 0, 1, true
P0.5N2L10.form200, 16, 0, 1, true
P0.5N2L10.form201, 13, 2, 0, true
P0.5N2L10.form202, 10, 3, 1, true
P0.5N2L10.form203, 16, 24, 0, true
P0.5N2L10.form204, 10, 1, 1, true
P0.5N2L10.form205, 10, 0, 0, true
P0.5N2L10.form206, 13, 2, 1, true
P0.5N2L10.form207, 13, 1, 0, true
P0.5N2L10.form208, 13, 6, 0, true
P0.5N2L10.form209, 13, 4, 0, true
P0.5N2L10.form210, 16, 10, 1, true
P0.5N2L10.form211, 10, 1, 0, true
P0.5N2L10.form212, 10, 8, 0, true
P0.5N2L10.form213, 10, 0, 0, true
P0.5N2L10.form214, 13, 14, 2, true
P0.5N2L10.form215, 13, 0, 0, true
P0.5N2L10.form216, 10, 2, 0, true
P0.5N2L10.form217, 10, 5, 1, true
P0.5N2L10.form218, 16, 4, 1, true
P0.5N2L10.form219, 16, 11, 0, true
P0.5N2L10.form220, 16, 10, 0, true
P0.5N2L10.form221, 13, 0, 0, true
P0.5N2L10.form222, 13, 4, 1, true
P0.5N2L10.form223, 13, 0, 0, true
P0.5N2L10.form224, 13, 5, 2, true
P0.5N2L10.form225, 10, 1, 0, true
P0.5N2L10.form226, 13, 0, 0, true
P0.5N2L10.form227, 13, 0, 0, true
P0.5N2L10.form228, 16, 12, 1, true
P0.5N2L10.form229, 13, 0, 0, true
P0.5N2L10.form230, 13, 12, 1, true
P0.5N2L10.form231, 10, 2, 0, true
P0.5N2L10.form232, 16, 13, 1, true
P0.5N2L10.form233, 13, 1, 1, true
P0.5N2L10.form234, 13, 1, 1, true
P0.5N2L10.form235, 13, 7, 1, true
P0.5N2L10.form236, 16, 7, 1, true
P0.5N2L10.form237, 10, 0, 1, true
P0.5N2L10.form238, 13, 2, 1, true
P0.5N2L10.form239, 13, 4, 1, true
P0.5N2L10.form240, 16, 8, 1, true
P0.5N2L10.form241, 10, 0, 0, true
P0.5N2L10.form242, 16, 3, 0, true
P0.5N2L10.form243, 16, 0, 1, true
P0.5N2L10.form244, 13, 6, 1, true
P0.5N2L10.form245, 10, 1, 0, true
P0.5N2L10.form246, 10, 2, 1, true
P0.5N2L10.form247, 10, 4, 1, true
P0.5N2L10.form248, 10, 0, 0, true
P0.5N2L10.form249, 13, 0, 0, true
P0.5N2L10.form250, 16, 2, 1, true
P0.5N2L10.form251, 13, 1, 1, true
