formula, size, congruence, reverse, result 
P0.5N2L10.form18, 10, 2, 
P0.5N2L10.form19, 16, 0, 
P0.5N2L10.form20, 16, 3, 
P0.5N2L10.form21, 13, 1, 
P0.5N2L10.form22, 19, 4, 
P0.5N2L10.form23, 13, 2, 
P0.5N2L10.form24, 10, 2, 
P0.5N2L10.form25, 16, 0, 
P0.5N2L10.form26, 10, 0, 
P0.5N2L10.form27, 19, 6, 
P0.5N2L10.form28, 10, 1, 
P0.5N2L10.form29, 16, 0, 
P0.5N2L10.form30, 10, 1, 
P0.5N2L10.form31, 13, 0, 
P0.5N2L10.form32, 19, 3, 
P0.5N2L10.form33, 16, 1, 
P0.5N2L10.form34, 13, 4, 
P0.5N2L10.form35, 13, 4, 
P0.5N2L10.form36, 13, 1, 
P0.5N2L10.form37, 10, 2, 
P0.5N2L10.form38, 10, 2, 
P0.5N2L10.form39, 16, 4, 
P0.5N2L10.form40, 13, 3, 
P0.5N2L10.form41, 10, 1, 
P0.5N2L10.form42, 19, 2, 
P0.5N2L10.form43, 13, 6, 
P0.5N2L10.form44, 16, 2, 
P0.5N2L10.form45, 16, 6, 
P0.5N2L10.form46, 13, 0, 
P0.5N2L10.form47, 10, 0, 
P0.5N2L10.form48, 10, 0, 
P0.5N2L10.form49, 10, 1, 
P0.5N2L10.form50, 13, 7, 
P0.5N2L10.form51, 16, 5, 
P0.5N2L10.form52, 16, 0, 
P0.5N2L10.form53, 13, 0, 
P0.5N2L10.form54, 10, 0, 
P0.5N2L10.form55, 16, 1, 
P0.5N2L10.form56, 13, 5, 
P0.5N2L10.form57, 10, 3, 
P0.5N2L10.form58, 16, 3, 
P0.5N2L10.form59, 16, 6, 
P0.5N2L10.form60, 13, 0, 
P0.5N2L10.form61, 13, 5, 
P0.5N2L10.form62, 16, 2, 
P0.5N2L10.form63, 13, 0, 
P0.5N2L10.form64, 13, 2, 
P0.5N2L10.form65, 13, 7, 
P0.5N2L10.form66, 13, 0, 
P0.5N2L10.form67, 13, 2, 
P0.5N2L10.form68, 16, 13, 
P0.5N2L10.form69, 13, 1, 
P0.5N2L10.form70, 19, 2, 
P0.5N2L10.form71, 16, 0, 
P0.5N2L10.form72, 10, 3, 
P0.5N2L10.form73, 19, 10, 
P0.5N2L10.form74, 16, 1, 
P0.5N2L10.form75, 13, 2, 
P0.5N2L10.form76, 13, 5, 
P0.5N2L10.form77, 19, 7, 
P0.5N2L10.form78, 13, 2, 
P0.5N2L10.form79, 10, 0, 
P0.5N2L10.form80, 13, 3, 
P0.5N2L10.form81, 10, 0, 
P0.5N2L10.form82, 13, 1, 
P0.5N2L10.form83, 19, 4, 
P0.5N2L10.form84, 16, 6, 
P0.5N2L10.form85, 13, 4, 
P0.5N2L10.form86, 16, 0, 
P0.5N2L10.form87, 10, 0, 
P0.5N2L10.form88, 13, 0, 
P0.5N2L10.form89, 16, 2, 
P0.5N2L10.form90, 16, 1, 
P0.5N2L10.form91, 10, 0, 
P0.5N2L10.form92, 16, 1, 
P0.5N2L10.form93, 13, 2, 
P0.5N2L10.form94, 10, 2, 
P0.5N2L10.form95, 19, 5, 
P0.5N2L10.form96, 16, 1, 
P0.5N2L10.form97, 16, 7, 
P0.5N2L10.form98, 13, 2, 
P0.5N2L10.form99, 13, 2, 
P0.5N2L10.form100, 13, 9, 
P0.5N2L10.form101, 13, 2, 
P0.5N2L10.form102, 16, 5, 
P0.5N2L10.form103, 13, 2, 
P0.5N2L10.form104, 16, 8, 
P0.5N2L10.form105, 10, 0, 
P0.5N2L10.form106, 10, 4, 
P0.5N2L10.form107, 10, 1, 
P0.5N2L10.form108, 13, 8, 
P0.5N2L10.form109, 13, 4, 
P0.5N2L10.form110, 13, 4, 
P0.5N2L10.form111, 10, 1, 
P0.5N2L10.form112, 16, 3, 
P0.5N2L10.form113, 10, 0, 
P0.5N2L10.form114, 13, 1, 
P0.5N2L10.form115, 16, 4, 
P0.5N2L10.form116, 16, 2, 
