formula, size, congruence-pq, total, solver, subsumption
P0.5N2L10.form143, 13, 1, 0, 1
P0.5N2L10.form144, 10, 72, 1, 5
P0.5N2L10.form145, 10, 3, 0, 2
P0.5N2L10.form146, 13, 4, 1, 3
P0.5N2L10.form147, 10, 1, 0, 0
P0.5N2L10.form148, 13, 0, 0, 0
P0.5N2L10.form149, 19, 9, 0, 6
P0.5N2L10.form150, 13, 3, 0, 3
P0.5N2L10.form151, 13, 4, 0, 4
P0.5N2L10.form152, 10, 0, 0, 0
P0.5N2L10.form153, 10, 5, 0, 4
P0.5N2L10.form154, 13, 0, 0, 0
P0.5N2L10.form155, 13, 1, 0, 1
P0.5N2L10.form156, 16, 4, 0, 3
P0.5N2L10.form157, 13, 2, 0, 2
P0.5N2L10.form158, 10, 1, 0, 0
P0.5N2L10.form159, 16, 3, 0, 2
P0.5N2L10.form160, 16, 17, 1, 16
P0.5N2L10.form161, 10, 1, 0, 0
P0.5N2L10.form162, 13, 6, 0, 4
P0.5N2L10.form163, 10, 0, 0, 0
P0.5N2L10.form164, 13, 1, 0, 1
P0.5N2L10.form165, 16, 2, 0, 2
P0.5N2L10.form166, 13, 1, 0, 0
P0.5N2L10.form167, 13, 6, 0, 4
P0.5N2L10.form168, 10, 1, 0, 1
P0.5N2L10.form169, 13, 0, 0, 0
P0.5N2L10.form170, 16, 2, 0, 2
P0.5N2L10.form171, 10, 0, 0, 0
P0.5N2L10.form172, 10, 4, 1, 1
P0.5N2L10.form173, 16, 4, 0, 4
P0.5N2L10.form174, 13, 7, 0, 5
P0.5N2L10.form175, 16, 1, 0, 1
P0.5N2L10.form176, 16, 1, 0, 1
P0.5N2L10.form177, 13, 2, 0, 1
P0.5N2L10.form178, 10, 2, 0, 2
P0.5N2L10.form179, 13, 0, 0, 0
P0.5N2L10.form180, 13, 0, 0, 0
P0.5N2L10.form181, 13, 10, 0, 10
P0.5N2L10.form182, 16, 5, 0, 5
P0.5N2L10.form183, 13, 1, 0, 1
P0.5N2L10.form184, 16, 1, 0, 0
P0.5N2L10.form185, 13, 0, 0, 0
P0.5N2L10.form186, 10, 3, 0, 3
P0.5N2L10.form187, 13, 1, 0, 0
P0.5N2L10.form188, 13, 1, 0, 1
P0.5N2L10.form189, 13, 0, 0, 0
P0.5N2L10.form190, 13, 3, 0, 3
P0.5N2L10.form191, 10, 4, 0, 2
P0.5N2L10.form192, 10, 0, 0, 0
P0.5N2L10.form193, 10, 0, 0, 0
P0.5N2L10.form194, 10, 2, 0, 2
P0.5N2L10.form195, 16, 4, 0, 3
P0.5N2L10.form196, 10, 0, 0, 0
P0.5N2L10.form197, 19, 1, 0, 1
P0.5N2L10.form198, 13, 3, 0, 2
P0.5N2L10.form199, 13, 0, 0, 0
P0.5N2L10.form200, 16, 0, 0, 0
P0.5N2L10.form201, 13, 1, 0, 1
P0.5N2L10.form202, 10, 3, 0, 3
P0.5N2L10.form203, 16, 14, 0, 13
P0.5N2L10.form204, 10, 1, 0, 0
P0.5N2L10.form205, 10, 0, 0, 0
P0.5N2L10.form206, 13, 2, 0, 2
P0.5N2L10.form207, 13, 0, 0, 0
P0.5N2L10.form208, 13, 3, 0, 3
P0.5N2L10.form209, 13, 3, 0, 2
P0.5N2L10.form210, 16, 10, 0, 9
P0.5N2L10.form211, 10, 0, 0, 0
P0.5N2L10.form212, 10, 6, 0, 6
P0.5N2L10.form213, 10, 0, 0, 0
P0.5N2L10.form214, 13, 18, 0, 16
P0.5N2L10.form215, 13, 0, 0, 0
P0.5N2L10.form216, 10, 3, 0, 3
P0.5N2L10.form217, 10, 5, 0, 5
P0.5N2L10.form218, 16, 4, 0, 4
P0.5N2L10.form219, 16, 6, 0, 6
P0.5N2L10.form220, 16, 7, 0, 6
P0.5N2L10.form221, 13, 0, 0, 0
P0.5N2L10.form222, 13, 4, 0, 3
P0.5N2L10.form223, 13, 0, 0, 0
P0.5N2L10.form224, 13, 4, 0, 4
P0.5N2L10.form225, 10, 0, 0, 0
P0.5N2L10.form226, 13, 0, 0, 0
P0.5N2L10.form227, 13, 0, 0, 0
P0.5N2L10.form228, 16, 8, 0, 6
P0.5N2L10.form229, 13, 0, 0, 0
P0.5N2L10.form230, 13, 11, 0, 9
P0.5N2L10.form231, 10, 2, 0, 2
P0.5N2L10.form232, 16, 9, 0, 9
P0.5N2L10.form233, 13, 1, 0, 1
P0.5N2L10.form234, 13, 1, 0, 1
P0.5N2L10.form235, 13, 6, 0, 5
P0.5N2L10.form236, 16, 6, 0, 5
P0.5N2L10.form237, 10, 0, 0, 0
P0.5N2L10.form238, 13, 2, 0, 2
P0.5N2L10.form239, 13, 5, 0, 5
P0.5N2L10.form240, 16, 7, 0, 6
P0.5N2L10.form241, 10, 0, 0, 0
P0.5N2L10.form242, 16, 2, 0, 2
P0.5N2L10.form243, 16, 0, 0, 0
P0.5N2L10.form244, 13, 4, 1, 2
P0.5N2L10.form245, 10, 0, 0, 0
P0.5N2L10.form246, 10, 1, 0, 1
P0.5N2L10.form247, 10, 3, 0, 2
P0.5N2L10.form248, 10, 0, 0, 0
P0.5N2L10.form249, 13, 0, 0, 0
P0.5N2L10.form250, 16, 2, 0, 2
P0.5N2L10.form251, 13, 1, 0, 1
P0.5N2L10.form252, 16, 4, 0, 3
P0.5N2L10.form253, 10, 4, 0, 4
P0.5N2L10.form254, 13, 0, 0, 0
P0.5N2L10.form255, 13, 2, 0, 1
P0.5N2L10.form256, 13, 1, 0, 0
P0.5N2L10.form257, 13, 8, 0, 7
P0.5N2L10.form258, 13, 4, 1, 3
P0.5N2L10.form259, 10, 0, 0, 0
P0.5N2L10.form260, 16, 6, 0, 6
P0.5N2L10.form261, 10, 1, 0, 1
P0.5N2L10.form262, 10, 1, 0, 1
P0.5N2L10.form263, 13, 0, 0, 0
P0.5N2L10.form264, 10, 2, 0, 2
P0.5N2L10.form265, 10, 3, 0, 3
P0.5N2L10.form266, 10, 0, 0, 0
