formula, size, total, solver, subsumption, reverse
P0.5N2L10.form69, 13, 0, 0, 0, 
P0.5N2L10.form70, 19, 0, 0, 0, 
P0.5N2L10.form71, 16, 0, 0, 0, 
P0.5N2L10.form72, 10, 0, 0, 0, 
P0.5N2L10.form73, 19, 0, 0, 0, 
P0.5N2L10.form74, 16, 0, 0, 0, 
P0.5N2L10.form75, 13, 0, 0, 0, 
P0.5N2L10.form76, 13, 0, 0, 0, 
P0.5N2L10.form77, 19, 0, 0, 0, 
P0.5N2L10.form78, 13, 0, 0, 0, 
P0.5N2L10.form79, 10, 0, 0, 0, 
P0.5N2L10.form80, 13, 1, 1, 0, 
P0.5N2L10.form81, 10, 0, 0, 0, 
P0.5N2L10.form82, 13, 0, 0, 0, 
P0.5N2L10.form83, 19, 1, 1, 0, 
P0.5N2L10.form84, 16, 0, 0, 0, 
P0.5N2L10.form85, 13, 0, 0, 0, 
P0.5N2L10.form86, 16, 0, 0, 0, 
P0.5N2L10.form87, 10, 1, 1, 0, 
P0.5N2L10.form88, 13, 0, 0, 0, 
P0.5N2L10.form89, 16, 1, 1, 0, 
P0.5N2L10.form90, 16, 0, 0, 0, 
P0.5N2L10.form91, 10, 1, 1, 0, 
P0.5N2L10.form92, 16, 0, 0, 0, 
P0.5N2L10.form93, 13, 0, 0, 0, 
P0.5N2L10.form94, 10, 0, 0, 0, 
P0.5N2L10.form95, 19, 1, 1, 0, 
P0.5N2L10.form96, 16, 0, 0, 0, 
P0.5N2L10.form97, 16, 1, 1, 0, 
P0.5N2L10.form98, 13, 0, 0, 0, 
P0.5N2L10.form99, 13, 0, 0, 0, 
P0.5N2L10.form100, 13, 0, 0, 0, 
P0.5N2L10.form101, 13, 1, 1, 0, 
P0.5N2L10.form102, 16, 0, 0, 0, 
P0.5N2L10.form103, 13, 0, 0, 0, 
P0.5N2L10.form104, 16, 0, 0, 0, 
P0.5N2L10.form105, 10, 1, 0, 0, 
P0.5N2L10.form106, 10, 0, 0, 0, 
P0.5N2L10.form107, 10, 0, 0, 0, 
P0.5N2L10.form108, 13, 0, 0, 0, 
P0.5N2L10.form109, 13, 0, 0, 0, 
P0.5N2L10.form110, 13, 1, 0, 0, 
P0.5N2L10.form111, 10, 1, 0, 0, 
P0.5N2L10.form112, 16, 0, 0, 0, 
P0.5N2L10.form113, 10, 0, 0, 0, 
P0.5N2L10.form114, 13, 0, 0, 0, 
P0.5N2L10.form115, 16, 0, 0, 0, 
P0.5N2L10.form116, 16, 1, 0, 1, 
P0.5N2L10.form117, 10, 0, 0, 0, 
P0.5N2L10.form118, 13, 1, 1, 0, 
P0.5N2L10.form119, 10, 0, 0, 0, 
