formula, size, total, solver, subsumption, reverse
P0.5N2L10.form246, 10, 2, 0, 0, 
P0.5N2L10.form247, 10, 3, 1, 0, 
P0.5N2L10.form248, 10, 3, 0, 0, 
P0.5N2L10.form249, 13, 3, 0, 0, 
P0.5N2L10.form250, 16, 2, 0, 0, 
P0.5N2L10.form251, 13, 2, 0, 0, 
P0.5N2L10.form252, 16, 3, 0, 0, 
P0.5N2L10.form253, 10, 3, 0, 1, 
P0.5N2L10.form254, 13, 3, 0, 0, 
P0.5N2L10.form255, 13, 4, 0, 0, 
P0.5N2L10.form256, 13, 3, 0, 0, 
P0.5N2L10.form257, 13, 5, 1, 0, 
P0.5N2L10.form258, 13, 2, 0, 0, 
P0.5N2L10.form259, 10, 2, 0, 0, 
P0.5N2L10.form260, 16, 3, 1, 0, 
P0.5N2L10.form261, 10, 3, 0, 0, 
P0.5N2L10.form262, 10, 3, 0, 0, 
P0.5N2L10.form263, 13, 3, 0, 0, 
P0.5N2L10.form264, 10, 4, 0, 0, 
P0.5N2L10.form265, 10, 5, 0, 0, 
P0.5N2L10.form266, 10, 3, 0, 0, 
P0.5N2L10.form267, 16, 2, 0, 0, 
P0.5N2L10.form268, 10, 3, 0, 0, 
P0.5N2L10.form269, 10, 3, 1, 0, 
P0.5N2L10.form270, 16, 3, 0, 0, 
P0.5N2L10.form271, 19, 4, 0, 0, 
P0.5N2L10.form272, 13, 3, 0, 1, 
P0.5N2L10.form273, 10, 3, 0, 0, 
P0.5N2L10.form274, 10, 3, 0, 0, 
P0.5N2L10.form275, 10, 3, 0, 0, 
P0.5N2L10.form276, 13, 2, 0, 0, 
P0.5N2L10.form277, 13, 3, 0, 0, 
P0.5N2L10.form278, 13, 3, 1, 0, 
P0.5N2L10.form279, 13, 3, 0, 0, 
P0.5N2L10.form280, 13, 3, 0, 0, 
P0.5N2L10.form281, 10, 2, 0, 0, 
P0.5N2L10.form282, 13, 2, 0, 0, 
P0.5N2L10.form283, 16, 3, 1, 0, 
P0.5N2L10.form284, 13, 4, 0, 0, 
P0.5N2L10.form285, 13, 3, 0, 0, 
P0.5N2L10.form286, 10, 2, 0, 0, 
P0.5N2L10.form287, 13, 3, 0, 0, 
P0.5N2L10.form288, 16, 3, 0, 0, 
P0.5N2L10.form289, 16, 3, 0, 0, 
P0.5N2L10.form290, 13, 3, 0, 1, 
P0.5N2L10.form291, 13, 3, 0, 0, 
P0.5N2L10.form292, 10, 3, 1, 0, 
P0.5N2L10.form293, 16, 3, 0, 0, 
P0.5N2L10.form294, 16, 3, 1, 0, 
P0.5N2L10.form295, 13, 3, 1, 0, 
P0.5N2L10.form296, 13, 5, 1, 0, 
P0.5N2L10.form297, 10, 4, 1, 0, 
P0.5N2L10.form298, 16, 2, 0, 0, 
P0.5N2L10.form299, 13, 3, 0, 1, 
P0.5N2L10.form300, 13, 2, 0, 0, 
P0.5N2L10.form301, 13, 2, 0, 0, 
P0.5N2L10.form302, 16, 2, 0, 0, 
P0.5N2L10.form303, 13, 2, 0, 0, 
P0.5N2L10.form304, 19, 3, 0, 0, 
P0.5N2L10.form305, 10, 3, 1, 0, 
P0.5N2L10.form306, 16, 2, 0, 0, 
P0.5N2L10.form307, 16, 3, 1, 0, 
P0.5N2L10.form308, 16, 5, 0, 0, 
P0.5N2L10.form309, 13, 5, 0, 1, 
P0.5N2L10.form310, 13, 2, 0, 0, 
P0.5N2L10.form311, 10, 3, 0, 1, 
P0.5N2L10.form312, 13, 3, 0, 0, 
P0.5N2L10.form313, 13, 3, 0, 0, 
P0.5N2L10.form314, 16, 3, 0, 0, 
P0.5N2L10.form315, 13, 3, 0, 0, 
P0.5N2L10.form316, 16, 2, 0, 0, 
P0.5N2L10.form317, 16, 3, 1, 0, 
P0.5N2L10.form318, 13, 3, 0, 0, 
P0.5N2L10.form319, 13, 2, 0, 0, 
P0.5N2L10.form320, 19, 2, 0, 0, 
P0.5N2L10.form321, 19, 3, 1, 0, 
P0.5N2L10.form322, 19, 4, 1, 0, 
P0.5N2L10.form323, 16, 4, 0, 0, 
P0.5N2L10.form324, 13, 5, 0, 0, 
P0.5N2L10.form325, 19, 3, 0, 0, 
P0.5N2L10.form326, 10, 5, 0, 0, 
P0.5N2L10.form327, 10, 22, 0, 0, 
P0.5N2L10.form328, 10, 3, 1, 0, 
P0.5N2L10.form329, 13, 2, 0, 0, 
P0.5N2L10.form330, 10, 4, 1, 0, 
P0.5N2L10.form331, 13, 4, 0, 0, 
P0.5N2L10.form332, 10, 3, 0, 0, 
P0.5N2L10.form333, 16, 2, 0, 0, 
P0.5N2L10.form334, 13, 3, 0, 0, 
P0.5N2L10.form335, 16, 2, 0, 0, 
P0.5N2L10.form336, 13, 2, 0, 0, 
P0.5N2L10.form337, 10, 3, 0, 0, 
P0.5N2L10.form338, 19, 3, 0, 0, 
P0.5N2L10.form339, 13, 3, 0, 0, 
P0.5N2L10.form340, 16, 2, 0, 0, 
P0.5N2L10.form341, 10, 2, 0, 0, 
P0.5N2L10.form342, 13, 3, 0, 0, 
P0.5N2L10.form343, 10, 4, 0, 0, 
P0.5N2L10.form344, 10, 4, 0, 0, 
P0.5N2L10.form345, 10, 2, 0, 0, 
P0.5N2L10.form346, 16, 2, 0, 0, 
P0.5N2L10.form347, 10, 3, 0, 0, 
P0.5N2L10.form348, 10, 3, 0, 0, 
P0.5N2L10.form349, 16, 3, 0, 0, 
P0.5N2L10.form350, 10, 3, 0, 1, 
P0.5N2L10.form351, 13, 3, 0, 0, 
P0.5N2L10.form352, 13, 3, 0, 0, 
